status,p_value,morans_test_statistic,morans_I,Locus,gene_short_name,q_value,Module
OK,0.21847663907710033,0.7773483470192086,0.0028448829429423995,AT1G03470,AT1G03470,0.2674527129938729,NA
OK,0.42674316346308944,0.1846719773568199,5.322010716756857e-4,AT1G03510,AT1G03510,0.4988129829552292,NA
OK,0.5483337661492524,-0.12145271201028528,-6.63328998435683e-4,AT1G03520,AT1G03520,0.621550086970332,NA
OK,7.141634686515932e-7,4.821010701633763,0.018767138567087786,AT1G03550,AT1G03550,1.2596334006710746e-6,NA
OK,0.03444271876165134,1.8191703980198548,0.006715072902852358,AT1G03620,AT1G03620,0.046522805439223,NA
OK,4.719323367465763e-38,12.842809029713752,0.05056096959367362,AT1G03650,AT1G03650,1.4456182110572156e-37,NA
OK,1.6680373852985342e-106,21.888599373330266,0.08610028797374807,AT1G03660,AT1G03660,8.33745691440544e-106,NA
OK,3.390560200180664e-77,18.559915520262773,0.07314189025261675,AT1G03760,AT1G03760,1.4248050707054348e-76,NA
OK,0.2445661059796283,0.6916897075548923,0.0024699678074374793,AT1G03800,AT1G03800,0.2970095984339536,NA
OK,3.7885176248634055e-15,7.7744592905447725,0.027764543994004305,AT1G03820,AT1G03820,8.291030330586057e-15,NA
OK,4.120000328662983e-198,30.00581802672237,0.11829122810374615,AT1G03850,AT1G03850,2.986939110679347e-197,NA
OK,3.843964763578547e-143,25.44665411278494,0.1003761616917549,AT1G03860,AT1G03860,2.2850546740572037e-142,NA
OK,4.4658721638022323e-8,5.347215916704802,0.020839375938746997,AT1G03870,AT1G03870,8.209946479007986e-8,NA
OK,4.4788727878646837e-69,17.52672845373833,0.06905420276572184,AT1G04000,AT1G04000,1.7752728739959434e-68,NA
OK,0.033240114014429195,1.8351718679108244,0.007033359436337846,AT1G04010,AT1G04010,0.044963042055172965,NA
OK,0.061231925238438324,1.5445140489540465,0.005761522245488068,AT1G04040,AT1G04040,0.0805957546291092,NA
OK,0.5761091848858323,-0.191949669378698,-8.608886734888294e-4,AT1G04050,AT1G04050,0.637496558788209,NA
OK,3.752204235884868e-182,28.75653436208065,0.11344317920967205,AT1G04070,AT1G04070,2.569334470043136e-181,NA
OK,7.688032271325869e-8,5.247998384972266,0.02054454179088172,AT1G04140,AT1G04140,1.4034220296849495e-7,NA
OK,2.553632790629772e-96,20.7920582145137,0.08197072968469551,AT1G04270,AT1G04270,1.2049122506888101e-95,NA
OK,1.1699816537972288e-40,13.299187795156383,0.05232912229863998,AT1G04290,AT1G04290,3.686483333192403e-40,NA
OK,1.2033993257912473e-6,4.715870181114279,0.018384145795168096,AT1G04310,AT1G04310,2.1020377950801614e-6,NA
OK,2.181008467498785e-6,4.593342772878359,0.017955796844702297,AT1G04340,AT1G04340,3.7727555138721547e-6,NA
FAIL,NA,NA,NA,AT1G04360,AT1G04360,1,NA
OK,0.11793465123175526,1.1853747704443804,0.004480884014701145,AT1G04390,AT1G04390,0.14993128311448872,NA
OK,7.184858699253592e-39,12.987691033583863,0.05114131658588654,AT1G04400,AT1G04400,2.2192220953244468e-38,NA
OK,1.9282296825505883e-233,32.60188574451195,0.128563427514155,AT1G04410,AT1G04410,1.556857488568274e-232,NA
OK,0,43.16519216763619,0.17019352582084737,AT1G04490,AT1G04490,0,NA
OK,0.7708915637823965,-0.7417862174473681,-2.2593925771368362e-4,AT1G04500,AT1G04500,0.7814051113357411,NA
OK,5.311765637024763e-110,22.252686368328497,0.08775215276918695,AT1G04530,AT1G04530,2.694706354729838e-109,NA
OK,1.273758090095516e-8,5.569991599381188,0.021601691849724835,AT1G04570,AT1G04570,2.382883434702423e-8,NA
OK,2.771093741723935e-51,15.018653786892871,0.05916737602266317,AT1G04630,AT1G04630,9.565323862362131e-51,NA
FAIL,NA,NA,NA,AT1G04645,AT1G04645,1,NA
OK,0.5706264545100831,-0.1779692934923058,-7.905492953721961e-4,AT1G04650,AT1G04650,0.6347452894095043,NA
OK,0.42241378096633797,0.19572225805499535,5.80887648217689e-4,AT1G04730,AT1G04730,0.4940833730644183,NA
OK,1.2624879866362787e-264,34.73274913976955,0.13707585474953193,AT1G04750,AT1G04750,1.1191983486755282e-263,NA
OK,0.0020435777643187177,2.8713555329241482,0.011134962153940116,AT1G04830,AT1G04830,0.003057857174046724,NA
OK,0.5736830145421687,-0.18575872864577433,-9.084196330139639e-4,AT1G04840,AT1G04840,0.6361184989365218,NA
OK,4.488720327090031e-124,23.661547534008005,0.09332346865826058,AT1G04850,AT1G04850,2.4446815655698537e-123,NA
OK,3.557379337398348e-5,3.9724151364375326,0.015498741821130537,AT1G04860,AT1G04860,5.851999190096717e-5,NA
OK,1.012169840501922e-195,29.822028422592346,0.11766016878624044,AT1G04870,AT1G04870,7.235030293488285e-195,NA
OK,0.6086214322514021,-0.2757278080798395,-0.0011777712083853914,AT1G04920,AT1G04920,0.6541944053130777,NA
OK,1.1889728778189387e-24,10.182331463323054,0.03993966995757925,AT1G04930,AT1G04930,3.0661795810504868e-24,NA
OK,1.413110263881804e-10,6.308023094077273,0.024731750213333435,AT1G04950,AT1G04950,2.8009986992666096e-10,NA
OK,0,37.58730424503679,0.14835468669753854,AT1G05010,AT1G05010,0,NA
OK,0.023195972233097086,1.9918096735563255,0.00766167219850442,AT1G05030,AT1G05030,0.03188858843118546,NA
OK,4.680007594909779e-7,4.90463725635905,0.01917574710331637,AT1G05055,AT1G05055,8.304905981902652e-7,NA
OK,3.6523724459082736e-16,8.06531470763725,0.03161965942806474,AT1G05065,AT1G05065,8.150782206652443e-16,NA
OK,3.5287967404755684e-16,8.06951850896073,0.031680532169864134,AT1G05160,AT1G05160,7.880764347650739e-16,NA
OK,1.6299627893281964e-71,17.843278980482058,0.07030077990072392,AT1G05170,AT1G05170,6.58671036534345e-71,NA
OK,5.9590301309177276e-8,5.294748067036938,0.020732015512278545,AT1G05180,AT1G05180,1.0918780872850002e-7,NA
OK,0,94.30622191710876,0.3723563740831219,AT1G05190,AT1G05190,0,6
OK,3.5054537060871956e-36,12.504989515240196,0.04923021001904197,AT1G05205,AT1G05205,1.0498313918499922e-35,NA
OK,1.5432754082463484e-40,13.278465365726788,0.05228054467448537,AT1G05270,AT1G05270,4.8501807016046806e-40,NA
OK,1.2297637604884432e-24,10.179049188991126,0.03974540030005582,AT1G05300,AT1G05300,3.1700346271632878e-24,NA
OK,4.647988723589888e-221,31.71618242247787,0.1251413694391112,AT1G05350,AT1G05350,3.61424762873164e-220,NA
OK,0.7063135959152265,-0.5426470928092152,-2.150537634408533e-4,AT1G05370,AT1G05370,0.7255572559453605,NA
OK,5.193811109266845e-114,22.66299289092092,0.0893327391074942,AT1G05385,AT1G05385,2.68959713907604e-113,NA
OK,3.014345652597747e-35,12.332835983049772,0.04853133859742388,AT1G05410,AT1G05410,8.918199683248747e-35,NA
OK,5.343765173052608e-19,8.827673712156816,0.03469406213221476,AT1G05430,AT1G05430,1.258277474055718e-18,NA
OK,0.7720604312082247,-0.7456495579609083,-0.003090059417258605,AT1G05460,AT1G05460,0.7823067541174248,NA
OK,1.492688208709658e-7,5.1243678519111935,0.02002718487992226,AT1G05520,AT1G05520,2.695842572087106e-7,NA
OK,0.002457273310041105,2.8125821627751577,0.0100914225085253,AT1G05550,AT1G05550,0.003654107279588619,NA
OK,1.847659663737336e-78,18.715586415303733,0.07374934551496672,AT1G05570,AT1G05570,7.826286564568411e-78,NA
OK,0.061880324164799695,1.539178813787602,0.005350874223508642,AT1G05577,AT1G05577,0.0813878165371655,NA
OK,0.7688448107094694,-0.7350478080236359,-0.0029970472812403757,AT1G05640,AT1G05640,0.7796304646490311,NA
OK,1.0074947487619167e-8,5.610709346240673,0.021576581295440208,AT1G05770,AT1G05770,1.8899809353310157e-8,NA
OK,0.19024680854941167,0.8769871510832037,0.00323091503879949,AT1G05783,AT1G05783,0.2349666376746146,NA
OK,6.31566567969184e-26,10.464068082233728,0.04115602233962109,AT1G05840,AT1G05840,1.6581167406644213e-25,NA
OK,5.705392614394713e-27,10.689399107375161,0.042050338818349256,AT1G05940,AT1G05940,1.5194479218976632e-26,NA
OK,0.6912628399430091,-0.4994330795011506,-0.0020651028963288905,AT1G05950,AT1G05950,0.7136370195845347,NA
OK,1.0720557480423086e-59,16.25250786966245,0.06403272690833652,AT1G05970,AT1G05970,3.976991502606997e-59,NA
OK,5.061097007164024e-48,14.51233068206458,0.05713542238754383,AT1G06000,AT1G06000,1.6985264021844978e-47,NA
OK,1.4717004366398741e-16,8.175623370200233,0.03209573115853562,AT1G06070,AT1G06070,3.306656710316848e-16,NA
OK,1.1930234157112823e-275,35.455504476567526,0.13993157161423314,AT1G06110,AT1G06110,1.0982648113284872e-274,NA
OK,3.5358651835470224e-132,24.43610469136728,0.09637990303910682,AT1G06130,AT1G06130,2.000654427151942e-131,NA
OK,1.0440425402309588e-209,30.881937386907182,0.12128741226576255,AT1G06137,AT1G06137,7.838981973854575e-209,NA
OK,0.6601355235826813,-0.4128330260103121,-0.001790174922326044,AT1G06143,AT1G06143,0.6900158771357949,NA
OK,0.06952142973418662,1.4793647367432312,0.005650000857169904,AT1G06150,AT1G06150,0.09091893647712491,NA
OK,8.91565770874519e-5,3.747911485596564,0.014430823439210745,AT1G06148,AT1G06148,1.4398952217085042e-4,NA
OK,2.348282225081647e-257,34.24783999055377,0.13515441331084274,AT1G06190,AT1G06190,2.0258909365534884e-256,NA
