Locus,logFC_proto,logCPM_proto,F_proto,PValue_proto,p_adj_proto,logFC_treat,logCPM_treat,F_treat,PValue_treat,p_adj_treat,de_type_treat,de_type_proto
AT1G21770,-0.2002765463322804,6.330238638933478,1.0346348204271636,0.3298117971771033,0.4382907015635633,1.096042585062681,6.330238638933478,42.636038847535694,3.3001138306585095e-5,6.014556857394129e-4,Not DE,Not DE
AT1G21780,-0.20108807266355547,4.031368164462195,0.7635299715051097,0.3999484350965007,0.507701726189412,0.7077889197738872,4.031368164462195,14.233023982915311,0.0028150180498435922,0.01259845504141539,Not DE,Not DE
AT1G21790,0.8481954673210523,3.4051086415563905,6.263247376475162,0.02837307373270593,0.06340663116481646,-0.5744527893608068,3.4051086415563905,3.7010017697017936,0.07925075496617542,0.15634144110241727,Not DE,Not DE
AT1G21830,2.7076160776147384,4.321135718755205,61.05848782161013,5.884180236892262e-6,5.7212983746812764e-5,-0.8382730897749223,4.321135718755205,5.91696826922701,0.03221464714358077,0.07860321883340231,Not DE,Proto Up
AT1G21840,-0.6617850420862783,2.1940976164188815,1.1219896570696444,0.3110414034209524,0.4195758257132822,0.3232036765720062,2.1940976164188815,0.46215767026543336,0.5099520430749422,0.632402406590806,Not DE,Not DE
AT1G21880,-2.115364807543048,2.77435239269831,11.012149894229518,0.006394189985757906,0.01923342849762574,-2.039303822001933,2.77435239269831,23.94038168254592,4.082651351311262e-4,0.0032232915966224143,DC3000 Down,Proto Down
AT1G21900,0.05077386084549689,5.257260785968257,0.0484459388333479,0.8296143679567616,0.8763670771006936,0.7367745887015118,5.257260785968257,14.148117643850775,0.002872326567278366,0.012775561300564493,Not DE,Not DE
AT1G21910,0.8457156273366532,1.5381856420842268,1.6178366330630194,0.22829325577555,0.32996293522995845,-2.928483302812472,1.5381856420842268,21.662744713405694,6.077554635497429e-4,0.004236643731390305,DC3000 Down,Not DE
AT1G21920,-1.9270028233027918,4.029375052175857,36.48178699598368,6.735158246903337e-5,4.4607153590589657e-4,-1.776299671802304,4.029375052175857,64.42663363268038,4.508074015752297e-6,1.7851737077561518e-4,Not DE,Proto Down
AT1G21930,0.038043574074199546,4.0268077494428685,0.019222444253324766,0.8921075794178277,0.9240558308582225,0.8158071860205021,4.0268077494428685,12.662035110808993,0.004137570165229867,0.016870356843512724,Not DE,Not DE
AT1G21980,4.223819115814667,6.158978261475396,497.5187086534117,6.860635166144495e-11,1.0699054449305958e-8,-0.01266805568610976,6.158978261475396,0.004276662920901407,0.9489716562728486,0.9679766853971261,Not DE,Proto Up
AT1G22020,1.8273080309558591,4.326985964066619,52.569114837110185,1.2227979304996188e-5,1.0468174473496171e-4,-0.42211002864605085,4.326985964066619,3.117536767846464,0.1037231025951767,0.19150730781853265,Not DE,Proto Up
AT1G22030,-0.9136712832921556,2.684543192386867,2.951035170280698,0.11236110449669631,0.18959134720820137,-0.24193365308232515,2.684543192386867,0.382981248438667,0.5479684878058637,0.6657392430358445,Not DE,Not DE
AT1G22040,-0.5609560120676728,2.800411913698457,2.0263731494908788,0.1809167555222137,0.2756297472841703,0.05253943060407645,2.800411913698457,0.030234774849231955,0.8649550326717483,0.9126796023455314,Not DE,Not DE
